id,name
578,"Nicholas C. Wormald"
579,"Edward G. Coffman Jr."
580,"Dariusz Dereniowski"
581,"Wieslaw Kubiak"
582,"José Luiz Fiadeiro"
583,"Amílcar Sernadas"
584,"John E. Shore"
585,"Peter Klein"
586,"Friedhelm Meyer auf der Heide"
587,"Michael G. Lamoureux"
588,"Bradford G. Nickerson"
589,"Alistair Moffat"
590,"Ola Petersson"
591,"Ashok K. Agrawala"
592,"Satish K. Tripathi"
593,"Lutz Eichner"
594,"Peter Deussen"
595,"Meurig Beynon"
596,"Daniela Musto"
597,"Jürgen Avenhaus"
598,"Klaus Madlener"
599,"M. W. Du"
600,"S. C. Chang"
601,"Ichiro Suzuki"
602,"Tadao Kasami"
603,"Desh Ranjan"
604,"Enrico Pontelli"
605,"Gopal Gupta"
606,"Egidio Astesiano"
607,"Gianna Reggio"
608,"Anthony E. Krzesinski"
609,"Peter Teunissen"
610,"Rza Bashirov"
611,"Fabrice Kordon"
612,"Hüseyin Lort"
613,"Aris M. Ouksel"
614,"Otto Mayer"
615,"Robert E. Shostak"
616,"H. C. M. Kleijn"
617,"Jetty Kleijn"
618,"Marta Pietkiewicz-Koutny"
619,"Anthony J. Bonner"
620,"Giansalvatore Mecca"
621,"Karl Unterauer"
622,"Manfred Broy"
623,"Juris Hartmanis"
624,"Johannes Reichardt"
625,"Danny Dubé"
626,"Marc Feeley"
627,"Dongfeng Chen"
628,"Fereidoon Sadri"
629,"Tiia J. Salo"
630,"Xiaolei Qian"
631,"Hessam Khoshnevisan"
632,"Kurt Mehlhorn"
633,"Bennett L. Fox"
634,"Bogdan Aman"
635,"Gabriel Ciobanu"
636,"Werner Kuich"
637,"Pratul Dublish"
638,"Yehoshua Sagiv"
639,"James D. Currie"
640,"Terry I. Visentin"
641,"Salvatore La Torre"
642,"Susan Horwitz"
643,"Thomas W. Reps"
644,"Victor Mitrana"
645,"Cristina Tîrnauca"
646,"Alexandru Mateescu"
647,"A. J. Kfoury"
648,"Pawel Urzyczyn"
649,"Sheldon Shen"
650,"Aivars Lorencs"
651,"Detlef Wotschke"
652,"Gerd Kaufholz"
653,"Rance Cleaveland"
654,"John H. Reif"
655,"Scott A. Smolka"
656,"Paolo Zuliani"
657,"Henk Alblas"
658,"Wuxu Peng"
659,"S. Purushothaman"
660,"Ladislav Vagner"
661,"Krzysztof R. Apt"
662,"Petr A. Golovach"
663,"Bernard Lidický"
664,"Barnaby Martin"
665,"Daniël Paulusma"
666,"Piotr Rudnicki"
667,"Lynn Robert Carter"
668,"Tsutomu Kamimura"
669,"Zdenek Sawa"
670,"Petr Jancar"
671,"Luc Duponcheel"
672,"M. Duponcheel"
673,"Erica Moodie"
674,"Vernon Rego"
675,"Tomasz Kowaltowski"
676,"Xavier Nicollin"
677,"Joseph Sifakis"
678,"Sergio Yovine"
679,"Vladimir G. Deineko"
680,"Rüdiger Rudolf"
681,"Jürgen Dassow"
682,"Gabriel Thierrin"
683,"Carlo Mereghetti"
684,"Beatrice Palano"
685,"Srecko Brlek"
686,"Elisa Pergola"
687,"Olivier Roques"
688,"Wen-Jing Hsu"
689,"Carl V. Page"
690,"Aristid Lindenmayer"
691,"Shlomi Dolev"
692,"Elad Schiller"
693,"Artem Polyvyanyy"
694,"Matthias Weidlich"
695,"Mathias Weske"
696,"Michael Domaratzki"
697,"Armin Kühnemann"
698,"Ole Eriksen"
699,"Jørgen Staunstrup"
700,"Marcus Größer"
701,"D. T. Lee"
702,"Jay Earley"
703,"Athanasios K. Tsakalidis"
704,"Jainendra K. Navlakha"
705,"William F. Ogden"
706,"Peter J. L. Wallis"
707,"Betty Salzberg"
708,"Ali Mili"
709,"Jules Desharnais"
710,"Jean-Raymond Gagné"
711,"Hing Leung"
712,"Jen-Tse Wang"
713,"L. J. Steggles"
714,"Stefan Hertel"
715,"Martti Mäntylä"
716,"Joseph A. Bannister"
717,"Kishor S. Trivedi"
718,"Ulf R. Schmerl"
719,"Gunnar Forst"
720,"Anders Thorup"
721,"Marek J. Lao"
722,"Jacques Cohen"
723,"Martin S. Roth"
724,"Chung-Yee Lee"
725,"Surya Danusaputro Liman"
726,"Stefan Kahrs"
727,"Wolfgang J. Paul"
728,"Ernst J. Prauß"
729,"Rüdiger Reischuk"
730,"Jean-Pierre Banâtre"
731,"Patrice Frison"
732,"Patrice Quinton"
733,"Wilf R. LaLonde"
734,"Manuel Sorge"
735,"Hannes Moser"
736,"Rolf Niedermeier"
737,"Mathias Weller"
738,"Nike van Vugt"
739,"Hirokazu Nishimura"
740,"Paulo Tabuada"
741,"James E. Donahue"
742,"Wolfgang K. Giloi"
743,"José L. Encarnação"
744,"S. Savitt"
745,"Anthony J. Fisher"
746,"Wladimir Fridman"
747,"Bernd Puchala"
748,"Louxin Zhang"
749,"Suo Ping Li"
750,"Yong Qiang Zhou"
751,"Yong Zhou"
752,"Andreas Weber"
753,"Alexander Tuzhilin"
754,"Dirk Nowotka"
755,"Michele Boreale"
756,"Erzsébet Csuhaj-Varjú"
757,"Carlos Martín-Vide"
758,"Volker Strassen"
759,"Frank K. Hwang"
760,"Shen Lin 0005"
761,"Gunnar Stålmarck"
762,"Rachele Fuzzati"
763,"Massimo Merro"
764,"Uwe Nestmann"
765,"J. Eve"
766,"Reino Kurki-Suonio"
767,"Alain J. Martin"
768,"Colin Adams"
769,"Jean Vicard"
770,"Ronald V. Book"
771,"Ashok K. Chandra"
772,"Peter J. Downey"
773,"Peter M. Winkler"
774,"Amrinder Arora"
775,"Fanchun Jin"
776,"Gokhan Sahin"
777,"Hosam Mahmoud"
778,"Hyeong-Ah Choi"
779,"Tamás Gergely"
780,"László Úry"
781,"Paul E. S. Dunne"
782,"Sam M. Kim"
783,"Elvira Locuratolo"
784,"Fausto Rabitti"
785,"Jakob Gonczarowski"
786,"Yoshiki Kinoshita"
787,"John Power"
788,"P. Bouchet"
789,"Frank Tip"
790,"Peter F. Sweeney"
791,"Maurice Clint"
792,"Jan Van den Bussche"
793,"Luca Cabibbo"
794,"Karel Culík"
795,"Michael A. Arbib"
796,"Zvi M. Kedem"
797,"Abraham Silberschatz"
798,"Robert B. K. Dewar"
799,"Susan M. Merritt"
800,"Micha Sharir"
801,"Dominique Perrin"
802,"J. P. Crestin"
803,"Philippe Nain"
804,"Carl Langenhop"
805,"Mark Levene"
806,"George Loizou"
807,"Esko Ukkonen"
808,"Ingo Schmitt"
809,"Gunter Saake"
810,"Mirko Krivánek"
811,"Jaroslav Morávek"
812,"Jifeng He"
813,"Klaus Ecker"
814,"Helmut Ratschek"
815,"Shigeru Igarashi"
816,"Ralph L. London"
817,"David C. Luckham"
818,"Paul Helman"
819,"Béatrice Bérard"
820,"Claudine Picaronny"
821,"Onno J. Boxma"
822,"Alan G. Konheim"
823,"Carlton J. Maxson"
824,"Paul Walton Purdom Jr."
825,"Cynthia A. Brown"
826,"C. Samuel Hsieh"
827,"Brian Johnson"
828,"Stefano Bilotta"
829,"Elisabetta Grazzini"
830,"Renzo Pinzani"
831,"Berthold Hoffmann"
832,"Bernhard Möller"
833,"Kenichi Morita"
834,"Noritaka Nishihara"
835,"Yasunori Yamamoto"
836,"Zhiguo Zhang"
837,"Patrick E. O'Neil"
838,"Fatma Mili"
839,"Edsger W. Dijkstra"
840,"Kazuo Iwama"
841,"Rainer Kemp"
842,"Carlo Montangero"
843,"Giuliano Pacini"
844,"Maria Simi"
845,"Franco Turini"
846,"Gerda Schott"
847,"Vijay K. Garg"
848,"Alexander I. Tomlinson"
849,"Ryszard Janicki"
850,"Guy Fayolle"
851,"D. Bastin"
852,"R. M. Wharton"
853,"Klaus Indermark"
854,"Thomas Noll"
855,"Mohammad Mahdi Jaghoori"
856,"Marjan Sirjani"
857,"Mohammad Reza Mousavi"
858,"Ehsan Khamespanah"
859,"Ali Movaghar"
860,"Maurice Schlumberger"
861,"Jean Vuillemin"
862,"K. Narayan Kumar"
863,"Paritosh K. Pandya"
864,"Catherine Rosenberg"
865,"Carla Schlatter Ellis"
866,"William M. Waite"
867,"Mingsheng Ying"
868,"Yunhe Wang"
869,"Li Jiao"
870,"Burkhard Monien"
871,"Ewald Speckenmeyer"
872,"Remco Loos"
873,"Florin Manea"
874,"Bing-Chao Huang"
875,"Michael A. Langston"
876,"Tim Teitelbaum"
877,"Chandra M. R. Kintala"
878,"Wilfred J. Hansen"
879,"Hendrik Boom"
880,"Augusto Celentano"
881,"Bastian Katz"
882,"Ignaz Rutter"
883,"Vince Bárány"
884,"Ferri Abolhassan"
885,"Jörg Keller 0001"
886,"Rafik Aguech"
887,"Nabil Lasmar"
888,"Julian Rathke"
889,"C. L. Liu"
890,"Jane W.-S. Liu"
891,"Arthur L. Liestman"
892,"Pierpaolo Degano"
893,"José Meseguer"
894,"Andrzej Biela"
895,"Jakub Borowczyk"
896,"Alfredo Burrieza"
897,"Arne Andersson"
898,"Christian Icking"
899,"Rolf Klein"
900,"Helmut Seidl"
901,"Naomi Nishimura"
902,"Prabhakar Ragde"
903,"Stefan Szeider"
904,"Joel I. Seiferas"
905,"Tian-Shyr Dai"
906,"Yuh-Dauh Lyuu"
907,"Bernd Becker"
908,"A. Nico Habermann"
909,"Daniel M. Berry"
910,"P. S. Thiagarajan"
911,"Claus-Peter Schnorr"
912,"Benny Godlin"
913,"Ofer Strichman"
914,"Nicole Lesley"
915,"Mark B. Josephs"
916,"Roy H. Campbell"
917,"Sebastian Link"
918,"Juraj Hromkovic"
919,"Rob J. van Glabbeek"
920,"Ursula Goltz"
921,"Piotr Wyrostek"
922,"J. Terlouw"
923,"Dirk Taubner"
924,"Betti Venneri"
925,"Viviana Bono"
926,"Ernst-Erich Doberkat"
927,"Danièle Beauquier"
928,"Anatol Slissenko"
929,"Werner Damm"
930,"Bernhard Josko"
931,"Frantisek Mráz"
932,"Martin Plátek"
933,"Laurent Pierre"
934,"Sylviane R. Schwer"
935,"A. Nahapetian"
936,"Lex Bijlsma"
937,"Rob Nederpelt"
938,"Matteo Magnani"
939,"Danilo Montesi"
940,"Sridhar Vasudevan"
941,"Leslie M. Goldschlager"
942,"Peter D. Welch"
943,"Walter Bucher"
944,"Luc Moreau"
945,"Jean Duprat"
946,"T. Betteridge"
947,"Janet A. Walz"
948,"Gregory F. Johnson"
949,"Wladyslaw M. Turski"
950,"Brian Randell"
951,"Uli Fahrenberg"
952,"Axel Legay"
953,"Jirí Techet"
954,"Chuzo Iwamoto"
955,"Katsuyuki Tateishi"
956,"Katsunobu Imai"
957,"Daowen Qiu"
958,"Lvzhou Li"
959,"Xiangfu Zou"
960,"Paulo Mateus"
961,"H. T. Kung"
962,"Christos H. Papadimitriou"
963,"Takao Tsuda"
964,"Takashi Sato"
965,"Chongkye Rhee"
966,"Satoru Miyano"
967,"Arash Farzan"
968,"John Iacono"
969,"Yoshihide Igarashi"
970,"Clelia De Felice"
971,"Reiner Kolla"
972,"Bernd Serf"
973,"Keijo Ruohonen"
974,"Baudouin Le Charlier"
975,"Pascal Van Hentenryck"
976,"Jeremy Dick"
977,"John Kalmus"
978,"Ursula Martin"
979,"Lawrence Snyder"
980,"Alfs T. Berztiss"
981,"Reiner Philipp"
982,"Ernst-Jürgen Prauß"
983,"Takehiro Tokuda"
984,"Teodor Rus"
985,"Sriram V. Pemmaraju"
986,"John Buckle"
987,"Eugene Asarin"
988,"Thao Dang"
989,"Antoine Girard"
990,"Edward P. F. Chan"
991,"Héctor J. Hernández"
992,"Jixue Liu"
993,"Millist W. Vincent"
994,"A. C. McKellar"
995,"Javier Esparza"
996,"Walter Cazzola"
997,"Edoardo Vacchi"
998,"Francine Blanchet-Sadri"
999,"Robert Mercas"
1000,"Sean Simmons"
1001,"Eric Weissenstein"
1002,"Foued Ameur"
